DBCODE,ENTITY,WATERTEMP_METHOD,QC_LEVEL,PROBE_CODE,DATE,WATERTEMP_MEAN_DAY,WATERTEMP_MEAN_FLAG,WATERTEMP_MAX_DAY,WATERTEMP_MAX_FLAG,WATERTEMP_MAXTIME,WATERTEMP_MIN_DAY,WATERTEMP_MIN_FLAG,WATERTEMP_MINTIME,EVENT_CODE
HT004,41,WAT107,2D,WATGSL01,1995-03-09,5.2,A,6,A,1739,4.6,A,0317,METHOD
HT004,41,WAT107,2D,WATGSL01,1995-03-10,5.3,A,5.7,A,1758,4.7,A,0755,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-11,5.7,A,6.4,A,1508,5.1,A,0803,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-12,5.7,A,6.3,A,1548,5.1,A,0827,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-13,5.8,A,6.4,A,1713,5.4,A,0741,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-14,6.1,A,6.5,A,1627,5.9,A,0700,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-15,5.8,A,6.5,A,1603,5.3,A,2359,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-16,5.6,A,6.8,A,1539,4.7,A,0824,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-17,6.1,A,7.2,A,1534,5.2,A,0706,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-18,6.5,A,6.8,A,1548,5.9,A,2358,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-19,5.8,A,6.3,A,1557,5.3,A,0820,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-20,5.8,A,6.1,A,1235,5.2,A,2356,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-21,5.1,A,5.6,A,1241,4.7,A,2359,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-22,4.9,A,5.8,A,1527,4.5,A,2358,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-23,4.8,A,5.6,A,1436,4.2,A,0651,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-24,4.6,A,5.4,A,1410,4.2,A,0743,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-25,4.6,A,5.7,A,1559,4.1,A,0643,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-26,4.5,A,6.2,A,1555,3.4,A,0818,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-27,4.7,A,6.6,A,1601,3.4,A,0807,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-28,5.3,A,7.3,A,1558,4,A,0727,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-29,5.3,A,7.3,A,1609,3.8,A,0839,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-30,5.8,A,7.9,A,1612,4.3,A,0713,NA
HT004,41,WAT107,2D,WATGSL01,1995-03-31,5.9,A,6.9,A,1650,4.9,A,0657,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-01,6.5,A,7.9,A,1627,5.5,A,2358,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-02,5.9,A,8,A,1614,4.2,A,0829,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-03,6.7,A,9,A,1612,5,A,0816,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-04,6.5,A,7.2,A,1643,5.8,A,0711,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-05,6.8,A,7.4,A,1435,6.2,A,2354,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-06,6.7,A,7.7,A,1609,5.9,A,0652,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-07,6.5,A,7.1,A,1506,5.5,A,2359,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-08,5.1,A,5.6,A,0002,4.4,A,2359,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-09,5.2,A,6.2,A,1316,4.4,A,0041,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-10,5.5,A,6.6,A,1631,4.6,A,0650,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-11,6.3,A,7.4,A,1528,5.5,A,0610,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-12,6.2,A,6.7,A,1407,5.7,A,0700,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-13,5.6,A,6.1,A,1422,4.6,A,2353,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-14,4.9,A,5.8,A,1436,4.3,A,0715,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-15,5.4,A,6.5,A,1559,4.6,A,0625,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-16,5.5,A,7.4,A,1545,4.3,A,0722,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-17,5.4,A,6,A,1554,4.8,A,0522,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-18,5.2,A,6.4,A,1358,4.5,A,0640,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-19,5.3,A,6.5,A,1432,4.5,A,2357,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-20,5,A,6.1,A,1354,4.1,A,0701,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-21,6,A,8,A,1435,4.8,A,0554,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-22,6.1,A,8.6,A,1518,4.3,A,0719,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-23,6.7,A,9.1,A,1548,5,A,0716,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-24,7.3,A,9.7,A,1524,5.6,A,0749,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-25,7.3,A,9.5,A,1533,5.6,A,0801,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-26,7.2,A,8.7,A,1522,5.9,A,0735,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-27,6.7,A,7.2,A,1657,6.4,A,0614,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-28,6.9,A,8.1,A,1451,6.2,A,0621,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-29,6.8,A,7.5,A,1638,6.3,A,0621,NA
HT004,41,WAT107,2D,WATGSL01,1995-04-30,7.4,A,9.1,A,1513,6.4,A,0619,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-01,7.3,A,7.7,A,1546,7,A,0732,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-02,6.9,A,7.5,A,1552,6.4,A,2358,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-03,6.9,A,8.1,A,1502,6,A,0611,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-04,6.8,A,7.3,A,1547,6.5,A,0640,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-05,6.5,A,6.8,A,1619,6.4,A,0620,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-06,6.5,A,6.8,A,1702,6.4,A,0741,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-07,6.9,A,7.4,A,1648,6.3,A,0700,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-08,7.5,A,8.8,A,1513,6.5,A,0527,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-09,7.5,A,8,A,1345,7,A,0625,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-10,7.5,A,8.2,A,1420,7,A,0637,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-11,6.8,A,7.2,A,1212,6.1,A,2356,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-12,6.6,A,8.2,A,1538,5.7,A,0557,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-13,6.5,A,7.7,A,1312,5.3,A,0554,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-14,7.5,A,10,A,1508,5.7,A,0658,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-15,8,A,9.6,A,1609,6.4,A,0722,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-16,8.1,A,8.6,A,1318,7.7,A,0632,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-17,8.4,A,9.9,A,1645,7.6,A,0558,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-18,8.4,A,10.6,A,1521,7.1,A,0813,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-19,8.6,A,11.3,A,1530,6.6,A,0726,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-20,9.4,A,11.8,A,1517,7.5,A,0731,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-21,9.5,A,11.5,A,1600,7.7,A,0741,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-22,9.9,A,12.1,A,1525,8.3,A,0706,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-23,10,A,12.5,A,1514,8.4,A,0730,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-24,9.7,A,11.4,A,1459,8.1,A,0803,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-25,10.2,A,12.6,A,1602,8.3,A,0754,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-26,10.5,A,12.9,A,1519,8.7,A,0738,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-27,10.9,A,13.3,A,1525,9.2,A,0749,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-28,11.2,A,13.9,A,1550,9.1,A,0811,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-29,11.9,A,14.6,A,1600,9.9,A,0801,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-30,11.9,A,14.1,A,1558,10.1,A,0803,NA
HT004,41,WAT107,2D,WATGSL01,1995-05-31,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-01,12.1,A,14.4,A,1550,10.3,A,0806,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-02,11.9,A,13.4,A,1648,10.7,A,0705,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-03,12.4,A,14.9,A,1609,10.6,A,0809,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-04,11.6,A,12.4,A,1648,10.8,A,2358,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-05,9.6,A,10.8,A,0000,8.5,A,2359,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-06,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-07,9.1,A,10.9,A,1556,8,A,0600,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-08,9.7,A,11.9,A,1607,7.7,A,0721,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-09,10.6,A,13.3,A,1606,8.5,A,0753,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-10,10.2,A,10.8,A,1444,9.6,A,0000,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-11,10.6,A,13.1,A,1601,8.9,A,0846,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-12,10.6,A,12.3,A,1600,9.1,A,0611,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-13,10,A,10.5,A,0001,9.7,A,0738,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-14,9.9,A,10.7,A,1711,9.3,A,0747,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-15,10,A,11.5,A,1403,9,A,0700,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-16,9.7,A,10.4,A,1537,9.3,A,0654,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-17,9.9,A,11,A,1616,9.2,A,0649,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-18,9.2,A,9.7,A,1701,8.6,A,2359,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-19,8.7,A,9.3,A,1513,8.2,A,0635,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-20,8.7,A,9.5,A,1449,8.2,A,0543,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-21,9.2,A,10.5,A,1536,8.4,A,0643,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-22,10.4,A,12.8,A,1543,8.8,A,0749,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-23,11.1,A,13.7,A,1541,9.3,A,0724,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-24,11.9,A,14.6,A,1549,10.1,A,0807,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-25,12.3,A,15,A,1551,10.4,A,0809,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-26,12.6,A,15.2,A,1555,10.7,A,0825,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-27,12.5,A,15.2,A,1557,10.3,A,0812,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-28,12.9,A,15.4,A,1556,11,A,0802,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-29,13.1,A,15.7,A,1608,11,A,0753,NA
HT004,41,WAT107,2D,WATGSL01,1995-06-30,13.5,A,16,A,1613,11.6,A,0812,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-01,14.1,A,16.5,A,1647,12.2,A,0807,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-02,13.4,A,14.2,A,0000,12.6,A,0803,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-03,13.1,A,14.2,A,1542,12.3,A,0734,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-04,13.5,A,15.8,A,1703,11.8,A,0755,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-05,13.5,A,15.5,A,1708,11.7,A,0755,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-06,13.4,A,14.9,A,1557,12.2,A,0947,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-07,13.2,A,14.7,A,1630,11.8,A,0718,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-08,14,A,16.3,A,1650,12.2,A,0900,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-09,13,A,14.2,A,0000,12.3,A,2358,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-10,12.7,A,14.1,A,1518,11.6,A,0649,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-11,12.8,A,14.7,A,1619,11.4,A,0751,NA
HT004,41,WAT107,2D,WATGSL01,1995-07-12,12.5,A,13.9,A,1526,11.2,A,0804,NA
