DBCODE,ENTITY,WATERTEMP_METHOD,QC_LEVEL,PROBE_CODE,DATE,WATERTEMP_MEAN_DAY,WATERTEMP_MEAN_FLAG,WATERTEMP_MAX_DAY,WATERTEMP_MAX_FLAG,WATERTEMP_MAXTIME,WATERTEMP_MIN_DAY,WATERTEMP_MIN_FLAG,WATERTEMP_MINTIME,EVENT_CODE
HT004,41,WAT105,2D,WATGSM01,1987-08-07,12.4,A,12.7,A,1613,12.1,A,2359,METHOD
HT004,41,WAT105,2D,WATGSM01,1987-08-08,12.5,A,13.2,A,1230,11.8,A,0915,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-09,12.9,A,13.7,A,1221,12.3,A,0915,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-10,12.6,A,13.4,A,1252,12.1,A,0920,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-11,12.1,A,12.8,A,1235,11.5,A,0919,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-12,12,A,12.6,A,1229,11.4,A,0959,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-13,11.7,A,12,A,0008,11.4,A,2354,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-14,11.4,A,11.7,A,1130,11,A,0621,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-15,11.2,A,11.5,A,1131,10.9,A,2355,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-16,10.9,A,11.5,A,1221,10.3,A,0956,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-17,10.7,A,11.2,A,1222,9.9,A,0957,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-18,11.1,A,11.7,A,1903,10.3,A,0959,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-19,11.5,A,12.1,A,1222,10.8,A,0957,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-20,11.4,A,12,A,1220,10.9,A,0958,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-21,11.1,A,11.5,A,1216,10.4,A,0954,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-22,11.3,A,11.9,A,1739,10.7,A,0733,NA
HT004,41,WAT105,2D,WATGSM01,1987-08-23,11.8,A,12.3,A,1804,11.2,A,0956,NA
