DBCODE,ENTITY,WATERTEMP_METHOD,QC_LEVEL,PROBE_CODE,DATE,WATERTEMP_MEAN_DAY,WATERTEMP_MEAN_FLAG,WATERTEMP_MAX_DAY,WATERTEMP_MAX_FLAG,WATERTEMP_MAXTIME,WATERTEMP_MIN_DAY,WATERTEMP_MIN_FLAG,WATERTEMP_MINTIME,EVENT_CODE
HT004,41,WAT107,2D,WATGS201,1995-06-05,NA,M,NA,M,NA,NA,M,NA,METHOD
HT004,41,WAT107,2D,WATGS201,1995-06-06,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-07,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-08,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-09,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-10,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-11,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-12,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-13,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-14,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-15,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-16,9.9,A,10.2,A,1529,9.7,A,0620,NA
HT004,41,WAT107,2D,WATGS201,1995-06-17,9.9,A,10.4,A,1405,9.5,A,2359,NA
HT004,41,WAT107,2D,WATGS201,1995-06-18,9.1,A,9.6,A,0001,8.7,A,2358,NA
HT004,41,WAT107,2D,WATGS201,1995-06-19,8.9,A,9.2,A,1526,8.5,A,0544,NA
HT004,41,WAT107,2D,WATGS201,1995-06-20,9.1,A,9.5,A,1430,8.8,A,0500,NA
HT004,41,WAT107,2D,WATGS201,1995-06-21,9.6,A,10.1,A,1712,9.1,A,0538,NA
HT004,41,WAT107,2D,WATGS201,1995-06-22,10.5,A,11.4,A,1856,9.7,A,0746,NA
HT004,41,WAT107,2D,WATGS201,1995-06-23,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATGS201,1995-06-24,12.5,A,13.3,A,1343,11.6,A,0707,NA
HT004,41,WAT107,2D,WATGS201,1995-06-25,12.8,A,13.6,A,1718,11.8,A,0607,NA
HT004,41,WAT107,2D,WATGS201,1995-06-26,12.9,A,13.7,A,1439,12.1,A,0723,NA
HT004,41,WAT107,2D,WATGS201,1995-06-27,12.6,A,13.3,A,1359,11.8,A,0511,NA
HT004,41,WAT107,2D,WATGS201,1995-06-28,12.8,A,13.4,A,1344,12.2,A,0718,NA
HT004,41,WAT107,2D,WATGS201,1995-06-29,13.3,A,14,A,1740,12.4,A,0723,NA
HT004,41,WAT107,2D,WATGS201,1995-06-30,14,A,14.8,A,1457,13.1,A,0735,NA
HT004,41,WAT107,2D,WATGS201,1995-07-01,14.5,A,15.3,A,1455,13.7,A,0653,NA
HT004,41,WAT107,2D,WATGS201,1995-07-02,14,A,14.6,A,0001,13.6,A,2358,NA
HT004,41,WAT107,2D,WATGS201,1995-07-03,13.3,A,13.7,A,0003,13,A,2358,NA
HT004,41,WAT107,2D,WATGS201,1995-07-04,13.1,A,13.6,A,1408,12.5,A,0625,NA
HT004,41,WAT107,2D,WATGS201,1995-07-05,13.1,A,13.8,A,1613,12.2,A,0608,NA
HT004,41,WAT107,2D,WATGS201,1995-07-06,13.2,A,13.6,A,1353,12.8,A,0952,NA
HT004,41,WAT107,2D,WATGS201,1995-07-07,13,A,13.7,A,1642,12.3,A,0652,NA
HT004,41,WAT107,2D,WATGS201,1995-07-08,13.6,A,14.4,A,1619,12.8,A,0729,NA
HT004,41,WAT107,2D,WATGS201,1995-07-09,13.4,A,13.9,A,0006,12.6,A,2359,NA
HT004,41,WAT107,2D,WATGS201,1995-07-10,12.5,A,12.9,A,1623,12,A,0634,NA
HT004,41,WAT107,2D,WATGS201,1995-07-11,12.4,A,13,A,1446,11.8,A,0647,NA
HT004,41,WAT107,2D,WATGS201,1995-07-12,12.2,A,12.7,A,1511,11.6,A,0619,NA
HT004,41,WAT107,2D,WATGS201,1995-07-13,12.2,A,12.7,A,1439,11.5,A,0618,NA
HT004,41,WAT107,2D,WATGS201,1995-07-14,12.5,A,13.2,A,1417,11.5,A,0604,NA
HT004,41,WAT107,2D,WATGS201,1995-07-15,13,A,13.8,A,1842,12,A,0624,NA
HT004,41,WAT107,2D,WATGS201,1995-07-16,13.9,A,14.9,A,1901,12.7,A,0630,NA
