DBCODE,ENTITY,WATERTEMP_METHOD,QC_LEVEL,PROBE_CODE,DATE,WATERTEMP_MEAN_DAY,WATERTEMP_MEAN_FLAG,WATERTEMP_MAX_DAY,WATERTEMP_MAX_FLAG,WATERTEMP_MAXTIME,WATERTEMP_MIN_DAY,WATERTEMP_MIN_FLAG,WATERTEMP_MINTIME,EVENT_CODE
HT004,41,WAT103,2D,WATTGR01,1982-10-07,NA,M,NA,M,NA,NA,M,NA,METHOD
HT004,41,WAT103,2D,WATTGR01,1982-10-08,5,S,5.3,S,NA,4.7,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-09,5.1,S,5.4,S,NA,4.7,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-10,5.3,S,5.6,S,NA,4.6,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-11,5.5,S,5.8,S,NA,4.9,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-12,5.5,S,5.9,S,NA,5.2,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-13,5.6,S,5.9,S,NA,5.1,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-14,5.9,S,6.3,S,NA,5.5,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-15,6.2,S,6.6,S,NA,5.7,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-16,5.8,S,6.3,S,NA,5.1,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-17,4.9,S,5.3,S,NA,4.3,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-18,4.3,S,4.7,S,NA,3.8,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-19,4,S,4.2,S,NA,3.8,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-20,4.5,S,4.6,S,NA,4.1,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-21,4.9,S,5.2,S,NA,4.5,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-22,5.3,S,5.5,S,NA,5,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-23,5.4,S,5.6,S,NA,5.2,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-24,5.2,S,5.5,S,NA,4.9,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-25,4.9,S,5.2,S,NA,4.4,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-26,4.5,S,4.8,S,NA,4.3,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-27,4.2,S,4.4,S,NA,3.8,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-28,4.2,S,4.6,S,NA,3.9,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-29,4.1,S,4.6,S,NA,3.9,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-30,3.5,S,4,S,NA,2.8,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-10-31,2.6,S,3,S,NA,2.2,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-01,2.3,S,2.6,S,NA,1.4,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-02,1.9,S,2.1,S,NA,1.4,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-03,2.5,S,2.7,S,NA,1.9,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-04,2.8,S,3,S,NA,2.5,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-05,2.8,S,3.1,S,NA,2.2,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-06,2.1,S,2.6,S,NA,1.1,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-07,1.1,S,1.4,S,NA,0.6,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-08,0.8,S,0.9,S,NA,0.6,S,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-09,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-10,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-11,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-12,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-13,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-14,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-15,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-16,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-17,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-18,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-19,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-20,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-21,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-22,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-23,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-24,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-25,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-26,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-27,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-28,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-29,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-11-30,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-01,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-02,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-03,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-04,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-05,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-06,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-07,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT103,2D,WATTGR01,1982-12-08,NA,M,NA,M,NA,NA,M,NA,NA
