DBCODE,ENTITY,WATERTEMP_METHOD,QC_LEVEL,PROBE_CODE,DATE,WATERTEMP_MEAN_DAY,WATERTEMP_MEAN_FLAG,WATERTEMP_MAX_DAY,WATERTEMP_MAX_FLAG,WATERTEMP_MAXTIME,WATERTEMP_MIN_DAY,WATERTEMP_MIN_FLAG,WATERTEMP_MINTIME,EVENT_CODE
HT004,41,WAT107,2D,WATLMA01,1995-05-05,5.4,A,5.5,A,1638,5.4,A,2320,METHOD
HT004,41,WAT107,2D,WATLMA01,1995-05-06,5.4,A,5.5,A,1524,5.3,A,0729,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-07,5.7,A,6.1,A,1651,5.3,A,0621,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-08,6.2,A,6.9,A,1538,5.5,A,0449,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-09,6.3,A,6.6,A,1150,6,A,0554,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-10,6.1,A,6.5,A,1307,5.8,A,2358,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-11,5.4,A,5.9,A,0002,4.9,A,2357,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-12,5.2,A,6.1,A,1450,4.6,A,0501,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-13,5.5,A,6.1,A,1614,4.7,A,0347,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-14,6.3,A,7.6,A,1503,5.2,A,0607,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-15,6.7,A,7.9,A,1437,5.7,A,0606,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-16,6.7,A,7.2,A,1154,6.5,A,0614,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-17,6.9,A,7.9,A,1525,6.4,A,2359,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-18,6.7,A,7.9,A,1452,5.9,A,0716,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-19,7,A,8.5,A,1435,5.8,A,0627,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-20,7.6,A,8.9,A,1334,6.6,A,0637,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-21,7.7,A,8.8,A,1415,6.7,A,0637,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-22,7.9,A,9.2,A,1401,7,A,0604,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-23,8,A,9.6,A,1454,7.2,A,0625,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-24,7.8,A,9,A,1415,6.7,A,0633,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-25,8.2,A,9.6,A,1502,7.2,A,0610,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-26,8.4,A,9.9,A,1443,7.4,A,0551,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-27,8.6,A,9.8,A,1341,7.7,A,0643,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-28,8.9,A,10.5,A,1353,7.7,A,0605,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-29,9.4,A,11.1,A,1353,8.3,A,0547,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-30,9.4,A,10.8,A,1355,8.4,A,0554,NA
HT004,41,WAT107,2D,WATLMA01,1995-05-31,9.4,A,10.9,A,1458,8.4,A,0610,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-01,9.4,A,11.3,A,1331,8.5,A,0624,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-02,9.3,A,10.5,A,1349,8.6,A,0514,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-03,9.5,A,11.2,A,1349,8.5,A,0616,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-04,8.9,A,9.8,A,1501,8.2,A,2357,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-05,7.4,A,8.2,A,0002,6.6,A,2356,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-06,6.6,A,6.9,A,1237,6.4,A,2358,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-07,7.1,A,8.6,A,1501,6.3,A,0422,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-08,7.6,A,9.3,A,1359,6.5,A,0531,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-09,7.9,A,9,A,1231,7,A,0558,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-10,8.1,A,8.7,A,1212,7.7,A,2351,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-11,8.2,A,9.8,A,1348,7.2,A,0652,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-12,NA,M,NA,M,NA,NA,M,NA,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-13,7.8,A,8,A,1043,7.6,A,2359,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-14,7.7,A,10.3,A,1534,7.4,A,0538,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-15,7.8,A,8.7,A,1501,7.2,A,0524,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-16,7.7,A,8.1,A,1556,7.5,A,0524,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-17,7.8,A,8.5,A,1351,7.5,A,0644,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-18,7.2,A,7.5,A,0001,6.9,A,2354,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-19,7,A,7.6,A,1322,6.7,A,0450,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-20,7.2,A,7.6,A,1325,6.9,A,0451,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-21,7.5,A,8.3,A,1508,7,A,0537,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-22,8.3,A,9.7,A,1433,7.3,A,0601,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-23,9,A,10.5,A,1445,7.8,A,0531,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-24,9.5,A,11.1,A,1400,8.5,A,0622,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-25,9.8,A,11.4,A,1415,8.6,A,0627,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-26,9.9,A,11.5,A,1413,8.9,A,0653,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-27,9.9,A,11.6,A,1405,8.8,A,0548,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-28,10.1,A,11.7,A,1401,9.2,A,0534,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-29,10.3,A,12,A,1357,9.1,A,0548,NA
HT004,41,WAT107,2D,WATLMA01,1995-06-30,10.5,A,12.3,A,1310,9.6,A,0556,NA
HT004,41,WAT107,2D,WATLMA01,1995-07-01,10.9,A,12.6,A,1428,9.8,A,0554,NA
HT004,41,WAT107,2D,WATLMA01,1995-07-02,10.4,A,11.5,A,1435,10,A,0615,NA
