DBCODE,ENTITY,WATERTEMP_METHOD,QC_LEVEL,PROBE_CODE,DATE,WATERTEMP_MEAN_DAY,WATERTEMP_MEAN_FLAG,WATERTEMP_MAX_DAY,WATERTEMP_MAX_FLAG,WATERTEMP_MAXTIME,WATERTEMP_MIN_DAY,WATERTEMP_MIN_FLAG,WATERTEMP_MINTIME,EVENT_CODE
HT004,41,WAT103,2D,WATTLO01,1977-01-04,NA,M,NA,M,NA,NA,M,NA,METHOD
HT004,41,WAT103,2D,WATTLO01,1977-01-05,0.5,S,0.8,S,NA,0.2,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-06,0.5,S,0.7,S,NA,0.2,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-07,0.5,S,0.7,S,NA,0.3,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-08,0.4,S,0.6,S,NA,0.3,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-09,0.6,S,1,S,NA,0.3,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-10,1.5,S,1.7,S,NA,1,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-11,2,S,2.1,S,NA,1.5,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-12,2.3,S,2.7,S,NA,1.5,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-13,2,S,2.3,S,NA,1.4,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-14,2,S,2.2,S,NA,1.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-15,2.3,S,2.6,S,NA,1.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-16,2.8,S,3.2,S,NA,2.2,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-17,3,S,3.2,S,NA,2.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-18,3.2,S,3.6,S,NA,2.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-19,3.1,S,3.5,S,NA,2.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-20,3.3,S,3.7,S,NA,2.9,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-21,3.5,S,4.2,S,NA,2.9,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-22,2.8,S,3.3,S,NA,2.1,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-23,2.3,S,2.8,S,NA,1.7,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-24,1.9,S,2.3,S,NA,1.5,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-25,1.6,S,2.1,S,NA,1,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-26,2,S,2.5,S,NA,1,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-27,2,S,2.5,S,NA,1.6,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-28,1.9,S,2.5,S,NA,1.5,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-29,2,S,2.4,S,NA,1.5,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-30,2.4,S,2.9,S,NA,1.6,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-01-31,3.1,S,3.5,S,NA,2.6,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-01,2.9,S,3.5,S,NA,2.3,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-02,2.6,S,3.2,S,NA,2.1,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-03,2.6,S,3.1,S,NA,2,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-04,3,S,3.7,S,NA,2.3,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-05,3.3,S,3.6,S,NA,2.7,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-06,3.4,S,4.2,S,NA,2.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-07,3.7,S,4.2,S,NA,2.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-08,4.2,S,4.8,S,NA,3.6,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-09,4.5,S,5.2,S,NA,3.8,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-10,4.3,S,4.4,S,NA,4.1,S,NA,NA
HT004,41,WAT103,2D,WATTLO01,1977-02-11,4.3,S,4.6,S,NA,4,S,NA,NA
