DBCODE,ENTITY,WATERTEMP_METHOD,QC_LEVEL,PROBE_CODE,DATE,WATERTEMP_MEAN_DAY,WATERTEMP_MEAN_FLAG,WATERTEMP_MAX_DAY,WATERTEMP_MAX_FLAG,WATERTEMP_MAXTIME,WATERTEMP_MIN_DAY,WATERTEMP_MIN_FLAG,WATERTEMP_MINTIME,EVENT_CODE
HT004,41,WAT103,2D,WATTMA01,1976-08-12,NA,M,NA,M,NA,NA,M,NA,METHOD
HT004,41,WAT103,2D,WATTMA01,1976-08-13,11.8,S,12.2,S,NA,11.3,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-14,11.3,S,11.6,S,NA,10.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-15,10.6,S,11.1,S,NA,10,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-16,9.4,S,10,S,NA,8.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-17,8.7,S,8.9,S,NA,8.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-18,9,S,9.2,S,NA,8.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-19,9.2,S,9.5,S,NA,8.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-20,9.5,S,9.7,S,NA,9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-21,10.1,S,10.4,S,NA,9.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-22,10.7,S,11,S,NA,9.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-23,10.9,S,11.1,S,NA,10.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-24,10.9,S,11.1,S,NA,10.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-25,10.8,S,11,S,NA,10.3,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-26,10,S,10.6,S,NA,9.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-27,9.2,S,9.4,S,NA,8.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-28,9.4,S,9.8,S,NA,8.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-29,10.5,S,11,S,NA,9.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-30,11.3,S,11.7,S,NA,10.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-08-31,11.7,S,12,S,NA,11.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-01,12.1,S,12.4,S,NA,11.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-02,12,S,12.4,S,NA,11.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-03,11.3,S,11.5,S,NA,11.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-04,11.4,S,12.1,S,NA,10.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-05,11.6,S,11.9,S,NA,11.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-06,10.5,S,11.1,S,NA,9.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-07,9.3,S,9.6,S,NA,9.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-08,9.2,S,9.4,S,NA,8.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-09,9.6,S,9.9,S,NA,9.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-10,10.3,S,10.6,S,NA,9.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-11,10.4,S,10.5,S,NA,9.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-12,9.8,S,10,S,NA,9.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-13,9.8,S,9.9,S,NA,9.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-14,9.6,S,9.9,S,NA,9.3,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-15,9.7,S,9.8,S,NA,9.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-16,9.9,S,10,S,NA,9.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-17,9.8,S,9.9,S,NA,9.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-18,9.7,S,9.8,S,NA,9.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-19,9.9,S,10.1,S,NA,9.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-20,10.4,S,10.8,S,NA,10,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-21,10.3,S,10.4,S,NA,10,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-22,10.1,S,10.3,S,NA,9.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-23,9.8,S,10,S,NA,9.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-24,9.7,S,9.9,S,NA,9.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-25,9.8,S,10,S,NA,9.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-26,10.1,S,10.3,S,NA,9.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-27,10.2,S,10.4,S,NA,10,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-28,10.4,S,10.5,S,NA,10.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-29,10.6,S,10.8,S,NA,10.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-09-30,10.7,S,10.8,S,NA,10.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-01,10.8,S,11.1,S,NA,10.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-02,9.9,S,10.5,S,NA,9.3,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-03,8.9,S,9.3,S,NA,8.3,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-04,8.3,S,8.4,S,NA,8.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-05,8.5,S,8.7,S,NA,8.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-06,9,S,9.2,S,NA,8.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-07,9.5,S,9.8,S,NA,9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-08,9.7,S,9.8,S,NA,9.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-09,9.5,S,9.7,S,NA,9.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-10,9.2,S,9.3,S,NA,9.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-11,9.1,S,9.2,S,NA,8.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-12,9,S,9.1,S,NA,8.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-13,9.2,S,9.4,S,NA,9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-14,9,S,9.3,S,NA,8.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-15,8.7,S,8.8,S,NA,8.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-16,8.4,S,8.5,S,NA,8.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-17,7.9,S,8.2,S,NA,7.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-18,7.2,S,7.3,S,NA,7.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-19,7.2,S,7.3,S,NA,7.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-20,7.3,S,7.4,S,NA,7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-21,7.5,S,7.6,S,NA,7.2,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-22,7.1,S,7.3,S,NA,7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-23,6.8,S,7.1,S,NA,6.6,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-24,6.6,S,6.8,S,NA,6.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-25,6.7,S,6.8,S,NA,6.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-26,6.4,S,6.5,S,NA,6.3,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-27,6.4,S,6.6,S,NA,6.1,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-28,6.6,S,6.8,S,NA,6.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-29,6.8,S,6.9,S,NA,6.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-30,6.8,S,6.9,S,NA,6.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-10-31,7.2,S,7.6,S,NA,6.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-01,7.6,S,7.7,S,NA,7.4,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-02,8,S,8.1,S,NA,7.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-03,8,S,8.2,S,NA,7.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-04,8,S,8.2,S,NA,7.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-05,7.9,S,8.1,S,NA,7.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-06,7.8,S,8,S,NA,7.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-07,7.9,S,8.1,S,NA,7.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-08,9.1,S,9.4,S,NA,8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-09,8.9,S,9.1,S,NA,8.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-10,8.7,S,8.8,S,NA,8.5,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-11,8.4,S,8.7,S,NA,7.9,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-12,7.9,S,8,S,NA,7.8,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-13,7.8,S,8.1,S,NA,7.7,S,NA,NA
HT004,41,WAT103,2D,WATTMA01,1976-11-14,8.2,S,8.4,S,NA,7.9,S,NA,NA
